City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,xingyi,24.1877,102.817,23.99,22,94,5.72,CN,1678862300
203,nioro,13.35,-15.75,20.86,67,0,2.12,GM,1678862300
204,kajaani,64.2273,27.7285,-3.97,86,75,0.51,FI,1678862302
205,tezu,27.9167,96.1667,32.46,22,82,2.41,IN,1678862112
206,usinsk,65.9939,57.5281,-1.35,95,100,11.15,RU,1678862303
207,jinxiang,27.4327,120.6062,18.52,61,7,2.88,CN,1678862304
208,fort nelson,58.8053,-122.7002,-13.23,85,100,2.57,CA,1678862305
209,bousse,12.6606,-1.8922,25.26,10,0,3.56,BF,1678862305
210,maragogi,-9.0122,-35.2225,25.1,83,100,2.35,BR,1678862061
211,jamestown,42.097,-79.2353,-3.23,93,100,7.2,US,1678861854
212,esperance,-33.8667,121.9,25.29,58,0,6.02,AU,1678862061
213,ribeira grande,38.5167,-28.7,15.22,82,40,11.32,PT,1678861991
214,walvis bay,-22.9575,14.5053,14.49,68,0,4.17,NA,1678862027
215,goshen,41.5823,-85.8344,-3.95,83,0,2.06,US,1678862040
216,kruisfontein,-34.0033,24.7314,21.6,85,84,4.79,ZA,1678861984
217,coahuayana,18.7333,-103.6833,20.87,95,2,1.48,MX,1678862311
218,lebork,54.5392,17.7501,3.6,93,13,5.18,PL,1678862271
219,bayir,37.2687,28.2167,6.29,60,97,1.54,TR,1678862312
220,vila franca do campo,37.7167,-25.4333,15.23,89,100,8.06,PT,1678862079
221,shchors,51.8186,31.945,4.95,79,100,6.82,UA,1678862308
222,cabo san lucas,22.8909,-109.9124,18.61,60,0,4.21,MX,1678862151
223,jinchang,38.4953,102.1739,8.0,35,100,3.6,CN,1678862314
224,thompson,55.7435,-97.8558,-16.91,85,100,6.17,CA,1678861814
225,vigia del fuerte,6.5789,-76.8863,22.62,100,100,0.41,CO,1678862315
226,rio gallegos,-51.6226,-69.2181,1.03,75,0,3.6,AR,1678862027
227,taksimo,56.3444,114.8794,-6.28,62,100,2.13,RU,1678862317
228,auki,-8.7676,160.7034,26.45,85,100,1.62,SB,1678862318
229,trat,12.5,102.5,35.35,36,8,6.86,TH,1678862320
230,sabha,27.0377,14.4283,17.7,25,0,3.41,LY,1678862081
231,morgan city,29.6994,-91.2068,11.0,82,75,2.57,US,1678862321
232,pozo colorado,-23.4923,-58.7972,22.05,98,7,2.01,PY,1678862321
233,bilovice nad svitavou,49.2471,16.6725,4.2,66,0,4.12,CZ,1678862322
234,neuquen,-38.9516,-68.0591,19.94,32,0,1.54,AR,1678862190
235,banda aceh,5.5577,95.3222,29.44,66,99,5.65,ID,1678862323
236,kuryk,43.2,51.65,14.07,52,94,10.77,KZ,1678862324
